dataset,model,classes_subset,seed,method,nb_concepts,interpretation,prompt_type,specification,time,score,num_correct,num_valid,num_expected
BIOS,RB,"[21, 22, 26]",30,ClassesAs,28,,AC3,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
BIOS,RB,"[21, 22, 26]",12,SemiNMF,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[21, 22, 26]",22,NeuronsAs,,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",12,PCA,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[6, 19, 25]",40,baseline,84,topk,AB1,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
E,B,"[0, 1, 2, 3, 4, 5]",34,baseline,,llm,B2,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[21, 22, 26]",3,VanillaSAE,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
IMDB,B,"[0, 1]",30,VanillaSAE,6,llm,C2,old_consim,2026-07-14T15:51:55.192259,0.4,8,20,20
IMDB,B,"[0, 1]",48,SemiNMF,6,llm,C2,old_consim,2026-07-14T15:51:55.192259,0.4,8,20,20
BIOS,RB,"[21, 22, 26]",26,ICA,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
BIOS,RB,"[21, 22, 26]",30,ClassesAs,28,,C3,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",11,SVD,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
BIOS,RB,"[21, 22, 26]",12,SemiNMF,84,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.45,9,20,20
BIOS,RB,"[21, 22, 26]",23,NeuronsAs,,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.3,6,20,20
BIOS,RB,"[6, 19, 25]",40,baseline,84,topk,B1,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",12,PCA,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
E,B,"[0, 1, 2, 3, 4, 5]",34,baseline,,llm,AB1,old_consim,2026-07-14T15:51:55.192259,0.25,5,20,20
BIOS,RB,"[21, 22, 26]",26,ICA,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",4,VanillaSAE,84,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",11,SVD,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
IMDB,B,"[0, 1]",49,SemiNMF,6,llm,AC1,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",12,SemiNMF,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",30,ClassesAs,28,,AC2,old_consim,2026-07-14T15:51:55.192259,0.6,12,20,20
BIOS,RB,"[21, 22, 26]",23,NeuronsAs,,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
IMDB,B,"[0, 1]",30,VanillaSAE,6,llm,AC3,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[21, 22, 26]",12,PCA,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.9,18,20,20
BIOS,RB,"[6, 19, 25]",2,baseline,28,,AB1,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
E,B,"[0, 1, 2, 3, 4, 5]",34,baseline,,llm,B1,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[21, 22, 26]",4,VanillaSAE,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[21, 22, 26]",26,ICA,84,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.6,12,20,20
BIOS,RB,"[21, 22, 26]",30,ClassesAs,28,,C2,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
IMDB,B,"[0, 1]",49,SemiNMF,6,llm,C1,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",12,SVD,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",13,SemiNMF,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
IMDB,B,"[0, 1]",30,VanillaSAE,6,llm,C3,old_consim,2026-07-14T15:51:55.192259,0.45,9,20,20
BIOS,RB,"[21, 22, 26]",23,NeuronsAs,,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[6, 19, 25]",2,baseline,28,,B1,old_consim,2026-07-14T15:51:55.192259,0.6,12,20,20
BIOS,RB,"[21, 22, 26]",13,PCA,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.4,8,20,20
BIOS,RB,"[21, 22, 26]",26,ICA,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
E,B,"[0, 1, 2, 3, 4, 5]",35,baseline,,llm,AB2,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
BIOS,RB,"[21, 22, 26]",4,VanillaSAE,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",12,SVD,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",31,ClassesAs,28,,AC1,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
BIOS,RB,"[21, 22, 26]",13,SemiNMF,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",23,NeuronsAs,,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
IMDB,B,"[0, 1]",31,VanillaSAE,6,llm,AC1,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
BIOS,RB,"[21, 22, 26]",13,PCA,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
IMDB,B,"[0, 1]",49,SemiNMF,6,llm,AC3,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[6, 19, 25]",2,baseline,28,,AB2,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
E,B,"[0, 1, 2, 3, 4, 5]",35,baseline,,llm,B2,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
BIOS,RB,"[21, 22, 26]",27,ICA,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[21, 22, 26]",4,VanillaSAE,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[21, 22, 26]",31,ClassesAs,28,,C1,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",12,SVD,84,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.6,12,20,20
BIOS,RB,"[21, 22, 26]",13,SemiNMF,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[21, 22, 26]",23,NeuronsAs,,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
IMDB,B,"[0, 1]",31,VanillaSAE,6,llm,C1,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[6, 19, 25]",2,baseline,28,,B2,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
BIOS,RB,"[21, 22, 26]",27,ICA,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
